,recipe_title,star_rating,rating_count,review_count,Prep Time,Cook Time,Total Time,Servings,Yield,writeup,ingr,steps,category,Additional Time,Chill Time,Marinate Time,Rest Time
514,Japanese Tamago Egg,4.6,(40),29,15 mins,10 mins,25 mins,6,,,"['4  eggs', '¼ cup prepared dashi stock', '1 tablespoon white sugar', '1 teaspoon mirin (Japanese sweet wine)', '½ teaspoon soy sauce', '½ teaspoon vegetable oil, or more as needed']","['Beat eggs thoroughly in a bowl; whisk in dashi stock, sugar, mirin, and soy sauce until sugar has dissolved.', 'Lightly grease a nonstick skillet and heat over medium heat.', 'Pour a thin layer of egg mixture into the hot pan and swirl to coat the pan. Cook until egg layer is firm on the bottom but still slightly liquid on top, about 1 minute. Then lift up one edge using a spatula and roll up the egg layer. Push omelet roll to one side of the skillet. Oil the skillet again and pour in another thin layer of egg, lifting the first omelet roll up slightly to allow the egg to flow underneath; roll up the first omelet in the new layer of egg and push omelet to the edge of the skillet as before. Repeat the process with the remaining egg mixture, oiling the pan each time if needed.', 'Remove rolled omelet to a serving platter and cut into 6 equal pieces to serve.', ""It is best to use a tamago pan, which is a 5x7-inch square nonstick frying pan, but any small pan will work — you just won't have square ends on your finished omelet.""]",lunch,,,,
515,Monte Cristo Sandwich,4.2,(222),154,5 mins,15 mins,20 mins,1,,,"['2 slices bread', '1 teaspoon mayonnaise', '1 teaspoon prepared mustard', '2 slices cooked ham', '2 slices cooked turkey meat', '1 slice Swiss cheese', '1  egg', '½ cup milk']","['Spread mayonnaise on one side of one bread slice. Spread mustard on one side of remaining bread slice and top with alternate slices of ham, turkey, and Swiss cheese. Close sandwich with remaining bread slice, mayonnaise-side down.', 'Beat egg and milk in a shallow bowl until well combined. Lightly grease a small skillet over medium heat.', 'Dip sandwich into egg mixture to coat on both sides. Transfer sandwich to the hot skillet and cook until golden brown on both sides and cheese is melted. Serve hot.']",lunch,,,,
516,Eggplant Caponata (Sicilian Version),4.9,(75),60,30 mins,35 mins,1 hrs 35 mins,16,,,"['1  eggplant, peeled and cut into 1/2-inch cubes', 'salt to taste', '¼ cup olive oil, divided', '1 cup finely chopped celery', '1 medium onion, finely chopped', '1 clove garlic, minced', '1 ½ cups canned plum tomatoes, drained and coarsely chopped', '12  green olives, pitted and coarsely chopped', '1 ½ tablespoons drained capers', '1 tablespoon tomato paste', '1 teaspoon minced oregano', '2 tablespoons red wine vinegar', '2 teaspoons white sugar', '1 teaspoon salt', 'ground black pepper to taste', '2 teaspoons minced fresh parsley, or to taste']","['Toss eggplant with salt and place in a colander set over a bowl. Let sit, about 30 minutes. Rinse and pat dry.', 'Heat 2 tablespoons olive oil in a large skillet over medium heat. Add celery; cook, stirring often, until softened, about 4 minutes. Add onion and garlic; cook and stir until onion is soft and lightly golden, about 5 minutes. Transfer the mixture to a bowl using a slotted spoon.', 'Heat remaining 2 tablespoons olive oil in the skillet. Add eggplant and cook, stirring constantly, until lightly browned, 5 to 7 minutes. Stir in celery mixture, tomatoes, olives, capers, tomato paste, and oregano. Bring to a boil; reduce heat to low and simmer uncovered until caponata is thickened, about 15 minutes.', 'Season caponata with vinegar, sugar, salt, and black pepper. Transfer to a serving bowl and garnish with parsley.']",lunch,30 mins,,,
517,How to Make Tomato Bisque,4.8,(155),124,10 mins,1 hrs,1 hrs 10 mins,6,,,"['1 tablespoon olive oil', '1 cup diced onion', '½ cup diced celery', '1 pinch salt', '3 cloves garlic, chopped', '1 (32 ounce) container chicken broth, or more as needed', '1 (28 ounce) can crushed San Marzano tomatoes', '½ teaspoon paprika', '1 pinch freshly ground black pepper, or to taste', '1 pinch cayenne pepper, or to taste', '3 tablespoons uncooked jasmine rice', '1 teaspoon white sugar, or to taste', '½ cup heavy whipping cream', 'salt and freshly ground black pepper to taste', '2 tablespoons heavy whipping cream, divided', '2 tablespoons thinly sliced fresh basil leaves, divided']","['Heat olive oil in a large pot over medium heat; cook and stir onion and celery with a pinch of salt until onion is translucent, 5 to 8 minutes. Stir in garlic and cook until fragrant, about 1 minute.', 'Pour chicken broth and tomatoes into onion mixture. Bring to a simmer and season with paprika, black pepper, and cayenne pepper. Turn heat to low and stir rice into soup; skim foam occasionally and simmer until rice and vegetables are very tender, 35 to 45 minutes. Add sugar.', 'Blend soup with an immersion blender in the pot until smooth. Whisk 1/2 cup cream into soup and season with salt, black pepper, cayenne pepper, and sugar if needed. If soup is too thick, add more broth; if soup is too thin, cook, stirring often, until reduced and slightly thickened, about 10 minutes.', 'Ladle into warmed bowls; garnish each bowl with a drizzle of cream and top each with about 1 teaspoon chopped basil.']",lunch,,,,
518,Christy's Awesome Hot Ham and Cheese,4.6,(88),64,5 mins,10 mins,15 mins,1,,,"['2 slices whole grain bread', '2 teaspoons butter', '2 slices Swiss cheese', '2 thin slices  deli ham', '1 teaspoon mayonnaise', '1 teaspoon whole grain mustard']","['Preheat a skillet over medium-high heat.', 'Spread one side of each slice of bread with 1 teaspoon butter.', 'Place one slice butter-side down in the hot skillet. Top with Swiss cheese and ham. Spread the unbuttered side of second slice of bread with mayonnaise and mustard; place it butter-side up on sandwich.', 'Cook in the hot skillet until golden brown and cheese is melted, about 3 minutes per side.']",lunch,,,,
519,Greek Pasta Salad,4.6,(394),289,20 mins,10 mins,3 hrs 30 mins,8,,,"['2 cups penne pasta', '⅔ cup extra-virgin olive oil', '¼ cup red wine vinegar', '2 cloves garlic, crushed', '1 tablespoon lemon juice', '2 teaspoons dried oregano', 'salt and pepper to taste', '10  cherry tomatoes, halved', '1  green bell pepper, chopped', '1  red bell pepper, chopped', '1 small red onion, chopped', '½  cucumber, sliced', '½ cup sliced black olives', '½ cup crumbled feta cheese']","['Fill a large pot with lightly salted water and bring to a rolling boil. Stir in penne and return to a boil. Cook pasta uncovered, stirring occasionally, until tender yet firm to the bite, about 10 minutes; rinse with cold water and drain well.', 'Whisk olive oil, vinegar, garlic, lemon juice, oregano, salt, and pepper together in a bowl; set aside.', 'Combine pasta, tomatoes, green and red peppers, onion, cucumber, olives, and feta cheese in a large bowl. Pour vinaigrette over the pasta mixture and mix well. Cover and chill for 3 hours before serving.']",lunch,3 hrs,,,
520,BLT,4.8,(142),116,5 mins,10 mins,15 mins,1,,,"['4 slices bacon', '2 leaves lettuce', '2 slices tomato', '2 slices bread, toasted', '1 tablespoon mayonnaise']","['Cook bacon in a large, deep skillet over medium-high heat until evenly browned, about 10 minutes. Drain bacon on a paper towel-lined plate.', 'Arrange cooked bacon, lettuce, and tomato slices on one slice of bread. Spread mayonnaise on the other slice of bread. Close to make a sandwich.']",lunch,,,,
521,Garlic Bread Spread,4.6,(93),70,10 mins,15 mins,25 mins,10,,,"['½ cup butter, softened', '¼ cup grated Parmesan cheese', '2 cloves garlic, minced', '¼ teaspoon dried marjoram', '¼ teaspoon dried basil', '¼ teaspoon fines herbs', '¼ teaspoon dried oregano', '¼ teaspoon dried parsley, or to taste', 'ground black pepper to taste', '1 loaf unsliced Italian bread']","['Preheat the oven to 350 degrees F (175 degrees C).', 'Mix butter, Parmesan cheese, garlic, marjoram, basil, fines herbs, oregano, parsley, and pepper together in a bowl until thoroughly combined.', 'Slice Italian bread loaf in half lengthwise; spread each half generously with the garlic butter mixture. Transfer onto a baking sheet.', ""Bake on the top rack of the preheated oven until butter mixture melts and bubbles, about 10 to 15 minutes. Turn on the oven's broiler and broil until the bread is your desired shade of golden brown, 1 to 2 more minutes.""]",lunch,,,,
522,Puerto Rican Sancocho,4.7,(9),7,40 mins,2 hrs 30 mins,3 hrs 10 mins,12,,,"['3 tablespoons olive oil', '1 large onion, chopped', '5 cloves garlic, chopped', '3 sprigs fresh cilantro, chopped', '¼ teaspoon ground white pepper', '1 pinch dried oregano', 'salt to taste', '1 ½ pounds beef stew meat, cut into small pieces', '2 quarts water, or as needed', '½ (6.5 ounce) can tomato sauce', '2 cubes beef bouillon', '1 cup chopped fresh green beans, cut into 1 1/2-inch pieces', '2  carrots, peeled and sliced', '⅓ cup chopped celery', '1  large chayote squash - peeled, cored, and sliced lengthwise', '1 (15.5 ounce) can small white beans, rinsed and drained', '½ head cabbage, chopped', '1  green banana, peeled and sliced into 3/4-inch pieces', '1  yellow plantain, peeled and cut into 1-inch pieces', '5  large llautias (yautias), peeled and quartered', '6  potatoes, peeled and quartered', '½ cup chopped peeled pumpkin', '2 ears fresh corn, sliced into 6 pieces each', '⅓ cup chopped green bell pepper']","['Heat olive oil in a large pot over medium-low heat. Add onion, garlic, cilantro, white pepper, oregano, and salt. Cook and stir until onion is browned and very tender, about 20 minutes. Add stew meat; cook and stir until meat is browned on all sides, 5 to 7 minutes.', 'Pour enough water over meat mixture to fill the pot 3/4 full. Add tomato sauce and beef bouillon.', 'Stir in the remaining ingredients, one at a time, cooking slightly after each addition in the following order: green beans, carrots, celery, chayote squash, white beans, cabbage, green banana, yellow plantain, llautias, potatoes, pumpkin, corn, and green bell pepper.', 'Cook until all the vegetables are tender and stew has formed a rich broth, 2 to 3 hours. Add more water or salt if needed.', 'Many of the vegetables can be found in international markets. Several have alternative names. Llautia may be Yautia or Malanga. Chayote is a type of squash.', 'Name, a root vegetable, can be used in place of one of the potatoes.']",lunch,,,,
523,Simple Pasta Salad,4.6,(167),133,15 mins,15 mins,1 hrs,12,,,"['1 (16 ounce) package uncooked rotini pasta', '1 (16 ounce) bottle Italian salad dressing', '2  cucumbers, chopped', '6  tomatoes, chopped', '1 bunch green onions, chopped', '4 ounces grated Parmesan cheese', '1 tablespoon Italian seasoning']","['Bring a large pot of lightly salted water to a boil. Place pasta in the pot, cook for 8 to 12 minutes, until al dente, and drain.', 'Toss cooked pasta with Italian dressing, cucumbers, tomatoes, and green onions in a large bowl. Mix Parmesan cheese and Italian seasoning in a small bowl, and gently mix into the salad.', 'Cover, and refrigerate for at least 30 minutes before serving.']",lunch,30 mins,,,
524,Zesty Quinoa Salad,4.8,"(1,507)","1,095",20 mins,15 mins,35 mins,6,,,"['2 cups water', '1 cup quinoa', '¼ cup extra-virgin olive oil', '2  limes, juiced', '2 teaspoons ground cumin', '1 teaspoon salt', '½ teaspoon red pepper flakes, or more to taste', '1 ½ cups halved cherry tomatoes', '1 (15 ounce) can black beans, drained and rinsed', '5  green onions, finely chopped', '¼ cup chopped fresh cilantro', 'salt and ground black pepper to taste']","['Bring water and quinoa to a boil in a saucepan. Reduce heat to medium-low, cover, and simmer until quinoa is tender and water has been absorbed, 10 to 15 minutes. Set aside to cool.', 'Meanwhile, whisk olive oil, lime juice, cumin, salt, and red pepper flakes together in a small bowl.', 'Combine quinoa, tomatoes, black beans, and green onions in a large bowl. Pour dressing over quinoa mixture; toss to coat. Stir in cilantro; season with salt and black pepper. Serve immediately or chill in the refrigerator.']",lunch,,,,
525,Top Ramen Salad,4.4,(46),33,15 mins,10 mins,55 mins,6,,,"['2 (3 ounce) packages chicken-flavored ramen noodles, broken into pieces, seasoning packets reserved', '½ cup raw sunflower seeds', '½ cup slivered almonds', '1 (16 ounce) package coleslaw mix', '3  green onions, chopped', '½ cup olive oil', '3 tablespoons white vinegar', '1 tablespoon white sugar', '½ teaspoon ground black pepper']","['Preheat the oven to 350 degrees F (175 degrees C). Spread ramen noodles, sunflower seeds, and almonds onto a baking sheet.', 'Bake noodle mixture in the preheated oven until fragrant and toasted, 10 to 15 minutes. Set aside to cool to room temperature.', 'Combine coleslaw mix and green onions in a large bowl; sprinkle cooled noodle mixture over the top.', 'Make dressing: Whisk olive oil, reserved ramen seasoning packets, vinegar, sugar, and black pepper together in a bowl until smooth.', 'Pour dressing over noodle mixture and toss to coat.']",lunch,30 mins,,,
526,Tomato Mozzarella Salad,4.8,(85),58,10 mins,,10 mins,6,,,"['3 large tomatoes, sliced', '8 ounces mozzarella cheese, sliced', '¼ cup olive oil', '¼ cup balsamic vinegar', '¼ teaspoon salt', '⅛ teaspoon ground black pepper', '¼ cup minced fresh basil']","['Place tomato slices, alternating with mozzarella slices, on a large serving platter.', 'Combine oil, balsamic vinegar, salt, and pepper in a jar with a tight-fitting lid; shake well. Drizzle over tomatoes and mozzarella; sprinkle with basil.']",lunch,,,,
527,Hot Dog Mummies,4.6,(31),24,10 mins,15 mins,25 mins,8,8 servings,,"['8  hot dogs', '1 (8 ounce) package refrigerated crescent rolls (such as Pillsbury® Grands! Big and Flaky)', '1 teaspoon yellow mustard, or as needed (Optional)']","['Preheat oven to 350 degrees F (175 degrees C).', 'Place hot dogs in a saucepan and cover with water; bring to a boil. Reduce heat to medium-low and simmer until warmed through, about 5 minutes. Drain.', 'Roll crescent dough onto a work surface; tear into 8 pieces. Roll 1 piece dough around each hot dog, creating the look of a mummy. Place dots of mustard on the top of each for the eyes, nose, and mouth. Arrange hot dogs on a baking sheet.', 'Bake in the preheated oven until crescent dough is golden brown and flaky, about 10 minutes.', ""You can change the mustard features to ketchup or something else or you could add hair. It's your preference!""]",lunch,,,,
528,How to Make a Tuna Melt,4.9,(100),74,15 mins,10 mins,25 mins,2,,,"['1 (6.5 ounce) jar oil-packed tuna, drained', '2 tablespoons finely diced celery', '1 tablespoon minced green onion', '2 teaspoons capers, drained', '2 tablespoons mayonnaise, or more to taste', '1 teaspoon Asian chile paste (such as sambal oelek)', '⅓ cup fresh mozzarella cheese', 'salt and ground black pepper to taste', '2 tablespoons softened butter, divided', '2 thick slices French bread', '¼ cup shredded sharp white Cheddar cheese, divided', '1 pinch cayenne pepper, or to taste']","['Place tuna into a mixing bowl and lightly break it apart with a fork. Add celery, green onion, capers, mayonnaise, and chile paste. Pinch in small pieces mozzarella and stir to mix. Season with salt and black pepper; refrigerate tuna salad until needed.', ""Preheat the oven's broiler. Line a baking sheet with aluminum foil."", 'Spread butter generously on both sides of French bread slices.', 'Broil buttered bread until golden brown on top, 2 to 3 minutes. Flip bread slices and broil other side until toasted, 2 to 3 more minutes. Remove from the oven and turn bread slices over on the baking sheet so the darkest sides are on the bottom.', 'Gently spread tuna salad onto bread slices using 2 forks. Press the salad onto the bread and spread tuna all the way to the edges of the bread. Spread shredded Cheddar over each sandwich. Dust tops with cayenne pepper.', 'Place sandwiches under the broiler and cook until cheese is melted and bubbling, 5 to 6 minutes.', 'Use a baking dish underneath your sheet pan if you need to move your food slightly closer to the broiler flame.']",lunch,,,,
529,Cobb Salad,4.7,(487),310,20 mins,10 mins,30 mins,6,,,"['6 slices bacon', '3  eggs', '1 head iceberg lettuce, shredded', '3 cups chopped, cooked chicken meat', '2  tomatoes, seeded and chopped', '¾ cup blue cheese, crumbled', '3  green onions, chopped', '1  avocado - peeled, pitted and diced', '1 (8 ounce) bottle Ranch-style salad dressing']","['Place eggs in a saucepan and cover completely with cold water; bring to a boil, then cover and remove from heat. Let eggs sit for 10 to 12 minutes, then cool, peel and chop.', 'While the eggs are cooking, place bacon in a large, deep skillet. Cook over medium-high heat until evenly brown, 7 to 10 minutes. Drain, crumble, and set aside.', 'Divide shredded lettuce among individual plates. Top with rows of bacon, eggs, chicken, tomatoes, blue cheese, green onions, and avocado. Drizzle with dressing.']",lunch,,,,
530,Best Bean Salad,4.7,(264),209,20 mins,,8 hrs 20 mins,18,12 cups,,"['1 (15.5 ounce) can garbanzo beans, drained', '1 (14.5 ounce) can kidney beans, drained', '1 (14.5 ounce) can black beans, drained', '1 (14.5 ounce) can green beans, drained', '1 (14.5 ounce) can wax beans, drained', '½ cup chopped green pepper', '½ cup chopped onion', '½ cup chopped celery', '¾ cup white sugar', '½ cup salad oil', '½ cup vinegar', '½ teaspoon salt', '½ teaspoon ground black pepper']","['Combine garbanzo beans, kidney beans, black beans, green beans, wax beans, green pepper, onion, and celery in a large bowl; toss to mix.', 'Whisk together sugar, oil, vinegar, salt, and pepper in a separate bowl until sugar is dissolved; pour over bean mixture. Mix well.', 'Refrigerate salad for 8 hours to overnight before serving.']",lunch,8 hrs,,,
531,The Best Vegetable Salad,4.4,(14),8,30 mins,,30 mins,6,,,"['5  romaine lettuce leaves, torn into bite size pieces', '5  radishes, chopped', '2  fresh tomatoes, chopped', '2  green onion, minced', '1 small jicama, peeled and julienned', '1  cucumber, peeled and chopped', '1  red bell pepper, chopped', '2 tablespoons olive oil', '1 ½ tablespoons lemon juice', '1 tablespoon pomegranate juice', '1 ½ teaspoons water', '1 clove garlic, minced', '1 teaspoon chopped fresh dill', '1 teaspoon chopped fresh basil', '1 teaspoon salt', '1 teaspoon ground black pepper']","['Place lettuce, radishes, tomatoes, green onion, jicama, cucumber, and bell pepper in a large salad bowl.', 'Whisk olive oil, lemon juice, pomegranate juice, water, garlic, dill, basil, salt, and black pepper in a small bowl. Drizzle dressing over the salad just before serving.']",lunch,,,,
532,Chef John's Homemade Chicken Noodle Soup,4.8,(375),284,20 mins,20 mins,40 mins,8,,,"['1 tablespoon butter', '½ cup diced carrot', '½ cup diced onion', '½ cup diced celery', '¼ teaspoon fresh thyme leaves', '1 pinch salt', '2 tablespoons melted chicken fat', '2 quarts roasted chicken broth (see footnote for recipe link)', '4 ounces uncooked wide egg noodles', '2  cooked boneless chicken breast halves, cubed', '1 pinch cayenne pepper (Optional)', 'salt and ground black pepper to taste']","['Melt butter in a large soup pot over medium heat. Stir in carrot, onion, celery, thyme, and salt. Add chicken fat; cook and stir until onions turn soft and translucent, 5 to 6 minutes.', 'Stir in roasted chicken broth and bring to a boil. Season with salt, if necessary.', 'Stir in egg noodles; cook until tender, about 5 minutes.', 'Add cooked chicken breast meat; simmer until heated through, about 5 minutes. Season with cayenne pepper, salt, and black pepper.', ""This recipe calls for Chef John's Roasted Chicken Broth.""]",lunch,,,,
533,Curried Egg Sandwiches,4.3,(61),50,15 mins,,15 mins,4,,,"['4  hard-cooked eggs, peeled and chopped', '½ cup mayonnaise', '1 teaspoon curry powder', 'salt and pepper to taste', '8 slices bread']","['Mix together mayonnaise and curry powder in a bowl. Gently stir in eggs, then season to taste with salt and pepper.', 'Evenly divide between 4 slices of bread, top with remaining 4 slices.']",lunch,,,,
534,Traditional Gyros,4.5,(30),21,15 mins,45 mins,3 hrs 15 mins,12,,,"['1 small onion, cut into chunks', '1 pound ground lamb', '1 pound ground beef', '1 tablespoon minced garlic', '1 teaspoon dried oregano', '1 teaspoon ground cumin', '1 teaspoon dried marjoram', '1 teaspoon dried thyme', '1 teaspoon dried rosemary', '1 teaspoon freshly ground black pepper', '¼ teaspoon sea salt', '12 tablespoons hummus', '12  pita bread rounds', '1 small head lettuce, shredded', '1 large tomato, sliced', '1 large red onion, sliced', '6 ounces crumbled feta cheese', '24 tablespoons tzatziki sauce']","['Place onion in a food processor and finely chop. Transfer onion to a piece of cheesecloth and squeeze out the liquid. Place onion in a large bowl.', 'Mix lamb, beef, garlic, oregano, cumin, marjoram, thyme, rosemary, black pepper, and salt with the onion using your hands until well mixed. Cover bowl with plastic wrap and refrigerate until flavors blend, about 2 hours.', 'Preheat the oven to 325 degrees F (165 degrees C).', 'Place meat mixture in a food processor and pulse until finely chopped and tacky, about 1 minute. Pack meat mixture into a 7x4-inch loaf pan, ensuring there are no air pockets. Place the loaf pan into a roasting pan and pour enough boiling water around the loaf pan to reach halfway up the sides for a water bath.', 'Bake in the preheated oven until no longer pink in the center, 45 to 60 minutes. An instant-read thermometer inserted into the center should read at least 165 degrees F (74 degrees C). Pour off any accumulated fat and cool slightly.', 'Thinly slice the cooked gyro meat loaf.', 'Spread 1 tablespoon hummus onto each pita bread. Then top each with some of the gyro meat slices, shredded lettuce, tomato slices, red onion slices, feta cheese crumbles, and 2 tablespoons tzatziki sauce to complete each sandwich.', 'I use homemade pita bread, hummus, and tzatziki sauce.']",lunch,2 hrs 15 mins,,,
535,Avocado Breakfast Sandwich,4.8,(50),38,10 mins,6 mins,16 mins,1,,,"['1 tablespoon olive oil', '2  large eggs', 'salt and ground black pepper to taste', '1 tablespoon butter, softened', '2 slices Italian bread', '1 ounce Swiss cheese, sliced', '1 ounce Cheddar cheese, sliced', '½  ripe avocado, sliced']","['Heat olive oil in a skillet over medium heat. Crack eggs into skillet; cook for 1 to 2 minutes. Flip and cook egg until done, 2 to 5 minutes more. Transfer eggs to a plate and season with salt and pepper.', 'Spread butter onto 1 side of each bread slice.', 'Heat a skillet over medium heat. Lay bread slices in the hot skillet, butter-side down. Quickly layer Swiss cheese, 1 fried egg, Cheddar cheese, 1 fried egg, avocado, and remaining bread slice, butter-side up. Carefully flip sandwich to grill other side until golden brown, 3 to 4 minutes.', 'Remove sandwich from skillet and cut in half.', 'Double recipe to make two sandwiches, which would increase avocado to one full avocado versus a half. You can also use one full avocado on one sandwich if you are like me and love avocados!', 'Substitute sourdough bread for the Italian bread, if desired. American cheese can be used in place of Cheddar cheese.']",lunch,,,,
536,Oyakodon (Japanese Chicken and Egg Rice Bowl),4.6,(132),87,10 mins,30 mins,40 mins,4,,,"['1 tablespoon olive oil', '4  skinless, boneless chicken thighs, cut into small pieces', '1  onion, cut in half and sliced', '2 cups dashi stock, made with dashi powder', '¼ cup soy sauce', '3 tablespoons mirin (Japanese rice wine)', '3 tablespoons brown sugar', '4 large eggs', '4 cups hot cooked white rice']","['Heat oil in a large skillet over medium heat. Add chicken and cook until beginning to brown, about 5 minutes. Add onion; cook and stir until onion is translucent, about 5 minutes.', 'Pour in stock, then whisk in soy sauce, mirin, and brown sugar; stir until sugar dissolves. Bring to a boil, then lower heat and simmer until slightly reduced, about 10 minutes.', 'Whisk eggs in a bowl until well-beaten, then pour into the hot stock mixture. Cover the skillet, reduce the heat, and steam until egg is cooked, about 5 minutes. Remove from the heat.', 'Divide rice among 4 deep soup bowls and top with equal amounts of the soup mixture.']",lunch,,,,
537,Vermicelli Noodle Bowl,4.5,(111),78,35 mins,25 mins,1 hrs,2,,,"['¼ cup white vinegar', '¼ cup fish sauce', '2 tablespoons white sugar', '2 tablespoons lime juice', '1 clove garlic, minced', '¼ teaspoon red pepper flakes', '½ teaspoon canola oil', '2 tablespoons chopped shallots', '2  skewers', '8  medium shrimp, with shells', '1 (8 ounce) package rice vermicelli noodles', '1 cup finely chopped lettuce', '1 cup bean sprouts', '1  English cucumber, cut into 2-inch matchsticks', '¼ cup finely chopped pickled carrots', '¼ cup finely chopped diakon radish', '¼ cup crushed peanuts', '3 tablespoons chopped cilantro', '3 tablespoons finely chopped Thai basil', '3 tablespoons chopped fresh mint']","['Whisk vinegar, fish sauce, sugar, lime juice, garlic, and red pepper flakes together in a small bowl; set sauce aside.', 'Heat oil in a small skillet over medium heat. Add shallots; cook and stir until softened and lightly caramelized, about 8 minutes.', 'Preheat an outdoor grill for medium heat and lightly oil the grate. Skewer 4 shrimp on each skewer and grill until they turn pink and are charred on the outside, 1 to 2 minutes per side. Set aside.', 'Bring a large pot of water to a boil. Add vermicelli noodles and cook until softened, 12 minutes. Drain noodles and rinse with cold water, stirring to separate noodles.', 'Assemble vermicelli bowl by placing cooked noodles in one half of each serving bowl; place lettuce and bean sprouts in the other half. Top each bowl with cucumbers, carrots, daikon, peanuts, cilantro, Thai basil, mint, and caramelized shallots. Serve with shrimp skewers and sauce on the side. Pour sauce on top and toss thoroughly to coat before eating.']",lunch,,,,
538,Lemon Chicken Orzo Soup,4.8,(487),372,20 mins,1 hrs,1 hrs 20 mins,12,6 quarts,,"['8 ounces orzo pasta', '1 teaspoon olive oil', '3 medium carrots, chopped, or more to taste', '3 ribs celery, chopped', '1 medium onion, chopped', '2 cloves garlic, minced', '½ teaspoon dried thyme', '½ teaspoon dried oregano', 'salt and ground black pepper to taste', '1  bay leaf', '3 (32 ounce) cartons fat-free, low-sodium chicken broth', '½ cup fresh lemon juice', '1  lemon, zested', '8 ounces cooked chicken breast, chopped', '1 (8 ounce) package baby spinach leaves', '1  lemon, sliced for garnish (Optional)', '¼ cup grated Parmesan cheese (Optional)']","['Bring a large pot of lightly salted water to a boil. Stir in orzo and return to a boil. Cook pasta uncovered until partially cooked through but not yet soft, about 5 minutes; drain and rinse with cold water until cooled completely.', 'Heat olive oil in a large pot over medium heat. Add carrots, celery, and onion; cook and stir until vegetables begin to soften and onion becomes translucent, 5 to 7 minutes. Add garlic; cook and stir until fragrant, about 1 minute more. Season mixture with thyme, oregano, bay leaf, salt, and black pepper; continue cooking another 30 seconds before pouring chicken broth into the pot.', 'Bring broth to a boil. Partially cover the pot, reduce heat to medium-low, and simmer until vegetables are just tender, about 10 minutes.', 'Stir orzo, lemon juice, and lemon zest into broth; add chicken. Cook until chicken and orzo are heated through, about 5 minutes. Add baby spinach; cook until spinach wilts into broth and orzo is tender, 2 to 3 minutes. Ladle soup into bowls; garnish with lemon slices and Parmesan cheese.', 'Please note the differences in yield and ingredient amounts when using the magazine version of this recipe.']",lunch,,,,
539,Homemade Pita Bread,4.7,(503),397,30 mins,10 mins,3 hrs 15 mins,8,8 pita breads,,"['1 (.25 ounce) package active dry yeast', '1 cup warm water (90 to 100 degrees F/32 to 38 degrees C)', '1 cup all-purpose flour', '1 ½ tablespoons olive oil', '1 ¾ teaspoons salt', '1 ¾ cups all-purpose flour, or more as needed', '1 teaspoon olive oil, divided']","['Place yeast in the bowl of a stand mixer and add 1 cup warm water and 1 cup flour. Whisk together, then let sit until mixture bubbles and foams, 15 to 20 minutes.', 'Add 1 1/2 tablespoons olive oil and salt into the yeast mixture, followed by 1 3/4 cups flour. Mix at low speed, using a dough hook attachment, until dough is soft, supple, and slightly sticky. If dough sticks to the sides of the bowl, add up to 1/4 cup more flour, a little at a time.', 'Knead dough with machine on low speed until slightly springy and still soft, 5 to 6 minutes. Turn dough out onto a floured work surface and form into a ball.', 'Wipe inside of bowl with 1/4 teaspoon olive oil. Turn dough around in bowl to cover with a thin film of oil; cover bowl with foil and let sit until dough has doubled in size, about 2 hours.', 'Remove dough from bowl and place onto a floured work surface. Lightly pat into a flat shape about 1-inch thick. Use a knife to cut dough into 8 equal pieces.', 'Form each piece into a small round ball with a smooth top, pulling dough from the sides and tucking the ends underneath the bottom.', 'Cover dough balls with lightly oiled plastic wrap and let rest for 30 minutes.', 'Transfer the dough balls to a lightly floured work surface and sprinkle the tops with flour. One at a time, gently pat the dough with your fingers, forming a flat, round bread about 1/4-inch thick. Let the shaped dough rest for 5 minutes.', 'Brush a cast iron skillet with remaining 3/4 teaspoon olive oil and place over medium-high heat. Lay dough into the hot skillet; cook until puffy and the bottom has brown spots and blisters, about 3 minutes. Flip, cook 2 more minutes, and flip back onto original side to cook for about 30 more seconds. Pita bread will begin to puff up and fill with hot air. Stack cooked breads on a plate; when cool enough to handle, slice breads in half and open the pocket inside for stuffing.']",lunch,2 hrs 35 mins,,,
