,recipe_title,star_rating,rating_count,review_count,prep_time,cook_time,total_time,servings,writeup,ingr,steps,category,number_of_steps,average_step_len
10,Brown Sugar Ham Steak,4.7,161.0,110.0,5.0,20.0,25.0,2.0,0,3,"Cook ham steak in a large skillet over medium heat until browned, 3 to 4 minutes per side., Remove ham from skillet; drain off any fat., Melt butter in the same skillet over medium-low heat. Stir in brown sugar., Return ham to skillet. Cook, turning ham often, until heated through and brown sugar has dissolved, about 10 minutes. Reduce heat if brown sugar/butter mixture starts to pop or splatter.",5-ingredient-main-dishes,4,99.0
11,Easy Rib Eye Roast,4.8,184.0,157.0,10.0,90.0,100.0,8.0,0,4,"Preheat the oven to 500 degrees F (260 degrees C)., Beat butter and garlic together in a bowl., Poke several holes in rib eye with a sharp knife. Rub butter mixture all over meat and season with salt and pepper. Place rib eye fat-side up in a roasting pan., Roast in the preheated oven for 20 minutes., Reduce heat to 325 degrees F (165 degrees C) and continue cooking until rib eye is reddish-pink and juicy in the center, 1 1/2 to 2 hours. An instant-read thermometer inserted into the center will read 145 degrees F (63 degrees C) for medium.",5-ingredient-main-dishes,5,108.2
12,Mushroom Pork Chops,4.4,2178.0,1480.0,10.0,30.0,40.0,4.0,0,6,"Season pork chops with salt, pepper, and garlic salt., Brown chops over medium-high heat in a large nonstick skillet. Add mushrooms and onion and sauté for one minute., Pour soup over chops. Cover, reduce the heat to medium-low, and simmer until chops are cooked through, 20 to 30 minutes.",5-ingredient-main-dishes,3,95.66666666666667
13,Honey Glazed Chicken,4.4,507.0,392.0,10.0,10.0,20.0,4.0,0,5,"Whisk honey, soy sauce, and red pepper flakes in a bowl; set aside., Heat olive oil in a skillet over medium heat; cook and stir chicken in hot oil until lightly brown, about 5 minutes., Pour honey mixture into the skillet; continue to cook and stir until chicken is no longer pink in the center and sauce is thickened, about 5 minutes more.",5-ingredient-main-dishes,3,113.0
14,Brown Sugar and Pineapple Glazed Ham,4.7,55.0,36.0,20.0,90.0,110.0,20.0,0,4,"Preheat the oven to 325 degrees F (165 degrees C). Place ham, cut-side down, into a roasting pan., Cut skin off pineapple with a sharp knife and slice off any brown spots or skin left behind. Cut pineapple into 1/2-inch-thick rings and use a round cutter to remove cores. Pin rings onto ham with toothpicks., Bake ham in the preheated oven for 30 minutes., While ham bakes, mix pineapple juice and brown sugar in a microwave-safe bowl. Microwave on medium power until glaze is boiling and slightly thickened. Work carefully because glaze will be sticky and very hot., Pour 1/2 of the glaze evenly over ham and pineapple rings. Bake ham for 30 minutes more, then pour remaining glaze over ham., Continue baking ham until a meat thermometer inserted into the thickest part of ham reads 140 degrees F (60 degrees C), 30 to 60 minutes more.",5-ingredient-main-dishes,6,138.5
15,Air Fryer Baked Potatoes,4.7,61.0,53.0,5.0,1.0,65.0,2.0,0,3,"Preheat an air fryer to 400 degrees F (200 degrees C)., Brush potatoes with peanut oil, sprinkle with salt, and place them in the air fryer basket., Cook potatoes until very tender when pierced with a fork, about 1 hour., The potatoes do not need to be pricked with a fork before cooking or turned while cooking.",5-ingredient-main-dishes,4,77.25
16,Simple BBQ Ribs,4.8,1834.0,1338.0,5.0,105.0,110.0,4.0,2459,5,"Place ribs in a large pot and cover with water. Stir in kosher salt, garlic powder, and pepper, and bring water to a boil over medium heat. Continue to boil until ribs are tender, 40 to 45 minutes., While the ribs are boiling, preheat the oven to 325 degrees F (165 degrees C)., Remove ribs from the pot, and place them in a 9x13-inch baking dish. Pour barbeque sauce over ribs. Cover the baking dish with aluminum foil., Bake in the preheated oven until the internal temperature of the pork has reached 160 degrees F (70 degrees C), 1 to 1 1/2 hours.",5-ingredient-main-dishes,4,137.0
17,Three-Ingredient Baked Chicken Breasts,4.4,408.0,324.0,10.0,30.0,40.0,4.0,0,3,"Preheat the oven to 350 degrees F (175 degrees C). Lightly butter a baking dish., Stir together melted butter and salt in a bowl., Arrange chicken in the prepared baking dish. Brush butter mixture onto chicken until thoroughly coated, pouring any extra over chicken., Bake in the preheated oven until no longer pink in the center and juices run clear, 30 to 45 minutes. An instant-read thermometer inserted into the center should read at least 165 degrees F (74 degrees C).",5-ingredient-main-dishes,4,117.5
18,Baked Salmon Fillets Dijon,4.6,1517.0,1081.0,10.0,15.0,25.0,4.0,0,5,"Preheat the oven to 400 degrees F (200 degrees C). Line a shallow baking pan with aluminum foil., Place salmon fillets skin-side down on the prepared baking pan. Spread a thin layer of mustard on top of each fillet; season with salt and pepper. Top with bread crumbs, then drizzle with melted butter., Bake in the preheated oven until salmon flakes easily with a fork, about 15 minutes., Please note the slight difference in the recipe name, as well as differences in the ingredient amounts, cook times, and use of skinless salmon when using the magazine version of this recipe.",5-ingredient-main-dishes,4,143.75
19,Parmesan Crusted Tilapia Fillets,4.6,776.0,585.0,10.0,10.0,20.0,4.0,0,6,"Preheat the oven to 400 degrees F (200 degrees C). Line a baking sheet with aluminum foil., Whisk Parmesan cheese, parsley, paprika, salt, and pepper together in a shallow dish., Coat tilapia fillets with olive oil and press into the Parmesan cheese mixture. Arrange coated fillets on the prepared baking sheet., Bake in the preheated oven until the fish flakes easily with a fork, 10 to 12 minutes.",5-ingredient-main-dishes,4,99.0
20,Slow Cooker Pork and Sauerkraut,4.5,126.0,102.0,10.0,8.0,490.0,4.0,0,6,"Place whole pork tenderloin into a slow cooker. Arrange potatoes around pork; pour sauerkraut and juice over pork and potatoes. Add 1 cup water, butter cubes, salt, and black pepper., Cook on Low until pork is tender, 8 to 10 hours. Add more water after 8 hours if mixture seems dry.",5-ingredient-main-dishes,2,141.0
21,Crumbed Chicken Tenderloins (Air Fried),4.7,170.0,138.0,15.0,12.0,27.0,4.0,0,4,"Preheat an air fryer to 350 degrees F (175 degrees C)., Whisk egg in a small bowl. Mix bread crumbs and oil together in a second bowl until mixture becomes loose and crumbly., Dip each chicken tenderloin into the bowl of egg; shake off any residual egg. Dip chicken into crumb mixture, making sure it is evenly and fully covered. Lay chicken tenderloins into the basket of the air fryer., Air-fry until no longer pink in the center, about 12 minutes. An instant-read thermometer inserted into the center should read at least 165 degrees F (74 degrees C)., You can substitute butter for vegetable oil if desired.",5-ingredient-main-dishes,5,121.4
22,Ground Beef and Cabbage,4.4,378.0,321.0,15.0,45.0,1.0,6.0,0,6,"Place cabbage, tomatoes with juice, onion, Italian seasoning, salt, and pepper into a Dutch oven or large pot over low heat; cook and stir until it begins to simmer., Add lean ground beef on top; cover and cook, stirring occasionally, until cabbage is tender and ground beef is cooked through, about 45 minutes., Do not cook and then drain your meat; most of the taste will leave. I use 90/10 ground beef for this recipe.",5-ingredient-main-dishes,3,139.66666666666666
23,Old Bay-Seasoned Steamed Shrimp,4.6,9.0,8.0,5.0,10.0,15.0,4.0,0,4,"Bring water, vinegar, and seafood seasoning to a boil in a saucepan over high heat. Add shrimp and stir., Reduce heat to medium, cover, and steam, stirring once or twice, until bright orange in color, 3 to 5 minutes. Drain.",5-ingredient-main-dishes,2,111.0
24,Salsa Chicken,4.6,4709.0,3281.0,5.0,30.0,35.0,4.0,0,5,"Preheat the oven to 375 degrees F (190 degrees C). Lightly grease a 9x13-inch baking dish., Place chicken breasts in the prepared dish. Sprinkle seasoning mix on both sides of chicken breasts; pour salsa on top., Bake in the preheated oven until chicken is tender and juicy and the juices run clear, 25 to 35 minutes., Sprinkle chicken evenly with cheese. Continue baking until cheese is melted and bubbly, 3 to 5 minutes more. Top with sour cream and serve.",5-ingredient-main-dishes,4,113.75
25,Easy Baked Ham Steaks,4.3,63.0,49.0,5.0,35.0,40.0,2.0,0,5,"Preheat the oven to 375 degrees F (190 degrees C)., Mix water, brown sugar, Worcestershire sauce, and cloves in a baking dish. Arrange ham steaks in baking dish, coating with sugar mixture. Add more water as needed to cover ham., Bake in the preheated oven until ham is tender, 35 to 45 minutes.",5-ingredient-main-dishes,3,97.66666666666667
26,Mississippi Roast (Slow Cooker Pepperoncini Pot Roast),4.7,387.0,292.0,10.0,8.0,490.0,6.0,0,5,"Place roast in a slow cooker. Form a pocket in the top of the roast and place butter, pepperoncini peppers, ranch dressing mix, and au jus mix in the pocket., Cook on Low for 8 hours., Substitute beef round or beef brisket for the beef chuck, if desired.",5-ingredient-main-dishes,3,84.0
27,Easy Breaded Shrimp,4.4,125.0,92.0,5.0,20.0,25.0,8.0,0,4,"Heat oil in a deep fryer or large saucepan to 350 degrees F (175 degrees C)., Working one at a time, dip shrimp into beaten egg, allowing any excess egg to drip back into the bowl. Press into bread crumbs to coat both sides. Place the breaded shrimp, unstacked, onto a plate. Repeat with remaining shrimp., Lower breaded shrimp carefully into preheated oil in batches. Fry until crispy and golden brown, about 4 to 5 minutes. Transfer to a paper towel-lined plate to drain. Repeat with remaining breaded shrimp., We have determined the nutritional value of oil for frying based on a retention value of 10% after cooking. The exact amount may vary depending on cook time and temperature, ingredient density, and the specific type of oil used.",5-ingredient-main-dishes,4,184.5
28,Kielbasa with Peppers and Potatoes,4.5,741.0,563.0,10.0,30.0,40.0,6.0,0,5,"Heat oil in a pan over medium heat. Place kielbasa and potatoes in the pan. Cover and cook, stirring occasionally, until potatoes are tender, about 25 minutes., Mix bell peppers into the pan, and continue cooking until peppers are just tender, 5 minutes.",5-ingredient-main-dishes,2,126.5
29,Simple Chicken Mayo with Parmesan and Bread Crumbs,4.8,68.0,54.0,10.0,20.0,30.0,2.0,0,5,"Preheat the oven to 425 degrees F (220 degrees C). Place chicken breasts in a baking pan., Mix Parmesan cheese and mayonnaise together in a bowl until well combined; spread evenly over chicken breasts. Coat with bread crumbs and sprinkle with herbes de Provence., Bake in the preheated oven until chicken breasts are no longer pink in the center and the juices run clear, 20 to 25 minutes. An instant-read thermometer inserted into the center should read at least 165 degrees F (74 degrees C).",5-ingredient-main-dishes,3,163.66666666666666
30,Fiesta Slow Cooker Shredded Chicken Tacos,4.5,156.0,108.0,10.0,6.0,370.0,8.0,0,3,"Combine chicken broth and taco seasoning mix in a bowl., Place chicken in a slow cooker. Pour chicken broth mixture over chicken., Cook on Low for 6 to 8 hours. Shred chicken.",5-ingredient-main-dishes,3,57.666666666666664
31,Smoked Chicken Drumsticks,3.4,5.0,5.0,10.0,2.0,610.0,12.0,0,3,"Place drumsticks on a rack over a drip tray or baking sheet. Air-dry in the refrigerator, 8 hours to overnight., Preheat an electric smoker to 275 degrees F (135 degrees C) and add wood chips according to manufacturers instructions., Brush drumsticks lightly with vegetable oil. Place drumsticks in a resealable plastic bag and sprinkle with the rub. Toss to coat evenly., Place drumsticks on the rack in the smoker. Smoke until chicken has reached an internal temperature of 165 degrees F (74 degrees C), about 2 hours., My favorite rub is this Brown Sugar BBQ Rub., For extra-crispy skin, you can place drumsticks under a broiler, in an air fryer, or on a grill for 3 to 5 minutes.",5-ingredient-main-dishes,6,113.0
32,How to Cook Trout,4.8,135.0,108.0,15.0,10.0,25.0,2.0,0,5,"Melt butter in a saucepan over medium-low heat until butter smells toasted and is golden brown, about 1 minute. Turn off heat., Line a baking sheet with a piece of aluminum foil. Place trout onto foil; open trout so skin sides are down. Drizzle each trout with about 1/2 teaspoon melted butter. Generously season with salt and black pepper., Move an oven rack to 5 or 6 inches below the heat source and preheat the ovens broiler on high heat., Broil trout until opaque and barely firm to the touch, 2 or 3 minutes. Remove from oven., Return pan of remaining melted butter over high heat; stir in lemon juice and parsley. Bring butter sauce to a boil; whisk to combine. Serve trout on plates and drizzle with butter sauce.",5-ingredient-main-dishes,5,143.4
33,Easy Tuna Casserole,4.3,1758.0,1355.0,15.0,30.0,45.0,8.0,0,5,"Preheat the oven to 350 degrees F (175 degrees C)., Combine cooked macaroni, tuna, and condensed soup together in a 9x13-inch baking dish; sprinkle with cheese., Bake in the preheated oven until bubbly, about 25 minutes. Sprinkle with fried onions; bake 5 minutes more.",5-ingredient-main-dishes,3,89.0
34,Mayo Chicken,4.6,201.0,179.0,15.0,70.0,85.0,6.0,0,7,"Preheat the oven to 350 degrees F (175 degrees C)., Place chicken pieces into a 9x13-inch baking dish. Stir together mayonnaise, garlic, rosemary, salt, and black pepper in a bowl. Spread mayonnaise mixture over chicken; top with Parmesan cheese., Bake in the preheated oven until no longer pink in the center and the juices run clear, about 1 hour and 10 minutes. An instant-read thermometer inserted into the center should read at least 165 degrees F (74 degrees C).",5-ingredient-main-dishes,3,155.33333333333334
35,Maple and Brown Sugar Oatmeal,4.6,28.0,24.0,2.0,6.0,10.0,1.0,0,4,"Bring water to a boil in a small pot. Add oats and cook, stirring, for 1 minute., Remove from heat and stir in brown sugar and maple syrup. Let sit until desired thickness is reached, 2 to 3 minutes.",5-ingredient-main-dishes,2,99.0
36,Parchment Baked Salmon,4.5,88.0,68.0,15.0,25.0,40.0,2.0,0,5,"Preheat the oven to 400 degrees F (200 degrees C). Move an oven rack to the lowest position., Place salmon fillet, skin-side down, in the middle of a large piece of parchment paper; season with salt and black pepper. Cut two 3-inch slits into fillet with a sharp knife. Stuff chopped basil leaves into the slits. Spray fillet with cooking spray and arrange lemon slices on top., Fold the edges of parchment paper over fillet several times to seal it into an airtight packet. Place sealed packet onto a baking sheet., Bake in the preheated oven on the bottom rack until salmon flakes easily and flesh is pink and opaque with an interior of slightly darker pink color, about 25 minutes. An instant-read thermometer inserted into the thickest part of fillet should read at least 145 degrees F (65 degrees C). To serve, cut open the parchment paper and remove lemon slices before plating.",5-ingredient-main-dishes,4,220.25
37,Pan-Fried Shrimp,4.5,30.0,19.0,5.0,5.0,10.0,4.0,0,5,"Melt 6 tablespoons butter in a large skillet over high heat. Add shrimp; cook and stir in hot butter until browned, about 2 minutes. Reduce heat to medium-low., Stir in 1 1/2 teaspoons lemon juice, garlic salt, salt, and pepper; cook until heated through, about 1 minute. Remove from heat; stir in remaining 2 tablespoons butter and 1 1/2 teaspoons lemon juice.",5-ingredient-main-dishes,2,180.0
38,BBQ Chicken Breasts in the Oven,4.8,37.0,29.0,10.0,45.0,55.0,4.0,0,3,"Preheat the oven to 425 degrees F (220 degrees C). Line a baking pan with heavy-duty foil to make cleanup easier., Prepare chicken breasts by cutting off the rib meat if you wish and rinse and pat dry. Leave the skin on. Season chicken with salt and pepper and put in the pan., Bake in the preheated oven until juices start to appear, about 10 minutes. Reduce oven temperature to 375 degrees F (190 degrees C). Remove the pan and generously pour 1/2 of the barbecue sauce over chicken. Continue to bake for 20 minutes. Repeat with remaining barbecue sauce and cook until no longer pink in the centers and skin is crispy, 15 to 20 minutes more., The times given are for my oven settings. Times and temperature can vary from oven to oven so adjust accordingly. Can also be grilled but you have to attend to them and add sauce more often = more work., You can use boneless breasts also but they have a tendency to turn out dry. Adjust cooking times if you do., You can use any prepared or homemade BBQ sauce you prefer.",5-ingredient-main-dishes,6,168.5
39,Easy Crispy Baked Chicken,4.6,162.0,143.0,15.0,45.0,1.0,6.0,0,5,"Preheat the oven to 425 degrees F (220 degrees C). Grease a large baking dish., Mix together crushed crackers, seasoned salt, and garlic powder in a shallow bowl., Dip chicken breasts into melted margarine, then press into cracker mixture until coated. Arrange chicken in the prepared baking dish., Bake in the preheated oven until chicken breasts are no longer pink in the center and the juices run clear, 45 to 60 minutes. An instant-read thermometer inserted into the center should read at least 165 degrees F (75 degrees C)., The nutrition data for this recipe includes the full amount of the breading ingredients. The actual amount of the breading consumed will vary.",5-ingredient-main-dishes,5,133.6
40,Cheese Omelette,4.6,8.0,7.0,5.0,5.0,10.0,1.0,0,5,"Whisk eggs in a bowl; add milk and season with salt and white pepper. Whisk until egg mixture is foamy, 2 to 3 minutes., Melt butter in a small, nonstick skillet over medium-low heat. Pour in egg mixture and swirl the skillet, so the bottom is evenly covered with egg. Cook until egg starts to set, about 1 minute. Lift edges with a spatula and tilt the skillet so uncooked egg can flow towards the bottom of the skillet to set. Repeat until no visible liquid egg remains., Carefully flip omelette; cook until warmed through, 30 seconds to 1 minute. Sprinkle Emmentaler cheese down the middle of omelette; fold in half. Cook until cheese is melted, about 20 seconds. Slide omelette onto a plate., You can use any cheese in this omelette; we just love Emmentaler cheese.",5-ingredient-main-dishes,4,191.5
41,Pan-Roasted Chicken Breasts,4.6,217.0,168.0,5.0,15.0,20.0,4.0,0,7,"Season chicken on both sides with salt and pepper., Heat olive oil in a heavy skillet over medium-high heat until it starts to shimmer. Place chicken breasts skin-side down in the skillet. Sprinkle with fresh herbs. Cook until the bottoms are well seared and golden brown, 5 to 6 minutes., Flip chicken breasts over and continue cooking until an instant-read thermometer inserted into the center of a breast reads 150 degrees F (66 degrees C), about 5 minutes., Add vinegar and cold butter to the pan with chicken. Shake the pan gently until butter melts and the internal temperature of chicken reads at least 165 degrees F (74 degrees C), 2 to 3 minutes more., Stir in 1 tablespoon chicken broth to thin sauce.",5-ingredient-main-dishes,5,141.4
42,Simply Roasted Artichokes,4.4,111.0,79.0,5.0,80.0,85.0,4.0,0,5,"Preheat the oven to 425 degrees F (220 degrees C)., Place artichokes stem-side down in a bowl and drizzle with lemon juice., Slightly separate the artichoke leaves with your hands. Insert a knife blade into the center of each artichoke to create a garlic clove-size space. Drizzle each artichoke with olive oil and press 1 clove of garlic into the center of each artichoke; season with salt., Tightly wrap each artichoke twice with heavy-duty aluminum foil; place in a baking dish., Bake in the preheated oven until sizzling, about 1 hour 20 minutes",5-ingredient-main-dishes,5,109.0
43,"Sous Vide ""Poached"" Eggs",3.6,18.0,17.0,5.0,30.0,40.0,4.0,0,2,"Fill a large pot with water and place a sous vide immersion cooker into the water. Set temperature to 167 degrees F (75 degrees C) according to manufacturers instructions; allow 15 minutes for the water to heat., Gently lower eggs into the water using a slotted spoon. Immediately set a kitchen timer for 13 minutes., Remove eggs from water once timer is up and let cool for 3 minutes. Gently crack egg around the middle and peel top half of shell. Slide egg out into a small bowl or serve over toast. Season with salt and pepper., Use a kitchen timer for precise results, not the timer on your immersion cooker since once you put the cold eggs in the water, the water temperature will drop and the immersion cooker timer will not start counting down until the water temperature is back up to temp again. This can lead to overcooking., Because immersion cookers can vary by a degree or two, you may need to play around with the time by adding or subtracting a minute. For more than 4 eggs, you may need to add 30 to 60 seconds., Sous vide poached eggs can be made up to 5 days ahead of time for busy weekday mornings. When done poaching, immediately plunge into an ice bath, cool, then refrigerate in a sealed container. To reheat, fill a coffee mug 3/4 full with water and microwave for 1 minute. Place egg inside and let sit for 12 to 15 minutes before serving.",5-ingredient-main-dishes,6,226.33333333333334
44,Easy Chorizo Street Tacos,4.6,37.0,31.0,10.0,10.0,20.0,2.0,0,5,"Mix together crumbled chorizo and chipotle peppers in adobo sauce in a bowl., Heat a skillet over medium-high heat; add chorizo mixture and cook until crisp, 5 to 7 minutes. Transfer to a plate, reserving grease in the skillet., Heat tortillas in reserved grease in the skillet over medium heat until warmed, 1 to 2 minutes per side. Stack 2 tortillas for each taco, then fill with chorizo, onion, and cilantro.",5-ingredient-main-dishes,3,136.33333333333334
45,Instant Pot Salsa Chicken,4.7,180.0,138.0,5.0,25.0,50.0,2.0,0,4,"Place chicken breasts in a multi-functional cooker (such as Instant Pot). Sprinkle all sides with taco seasoning. Pour salsa and chicken broth on top., Close and lock the lid. Select Poultry setting; set the timer for 15 minutes. Allow 10 to 15 minutes for pressure to build., Release pressure using the natural-release method according to manufacturers instructions, about 20 minutes. Unlock and remove the lid., Shred chicken and serve as desired., You can use water in place of chicken broth if desired., If you use thawed chicken breasts, shorten the cooking time to 8 to 10 minutes., Both quick-release and natural-release work for this recipe.",5-ingredient-main-dishes,7,91.85714285714286
46,Breaded Air Fryer Pork Chops,4.7,73.0,58.0,10.0,10.0,20.0,4.0,0,5,"Preheat an air fryer to 400 degrees F (200 degrees C)., Place pork chops on a plate and season both sides with Cajun seasoning., Pulse croutons in a small food processor until fine; transfer to a shallow dish. Lightly beat eggs in a separate shallow dish. Working one at a time, dip pork chops into beaten egg, letting excess drip off; press into crouton breading to coat both sides and place breaded chop, unstacked, onto a plate. Repeat with remaining chops. Mist chops with cooking spray., Spray the air fryer basket with cooking spray and arrange chops in a single layer in the air fryer basket. You may have to do two batches depending on the size of your air fryer., Cook in the preheated air fryer for 5 minutes; flip chops and mist again with cooking spray if there are dry areas. Cook 5 minutes more. An instant-read thermometer inserted into the center of the chops should read 145 degrees F (63 degrees C)., Play around with different crouton flavors for variety., Keep chops warm in an oven on the lowest setting while air frying remaining chops., For thicker chops, add an extra minute to the cook time. For thinner chops, cook 1 minute less., Nutrition data for this recipe includes the full amount of breading ingredients. The actual amount of breading consumed will vary., Please note the differences in ingredient amounts and cook temperature when using the magazine version of this recipe.",5-ingredient-main-dishes,10,139.8
47,Breakfast Rice from Japan,4.8,35.0,28.0,10.0,5.0,15.0,1.0,0,5,"Heat oil in a large skillet over medium-high heat. Spread rice in a flat layer in hot oil; cook until crispy on the bottom, 2 to 3 minutes., Stir egg into rice until scrambled, about 2 minutes more. Sprinkle green onions on top and season with soy sauce.",5-ingredient-main-dishes,2,126.5
48,Baked Pork Chops with Cream of Mushroom Soup,4.5,14.0,12.0,10.0,1.0,70.0,4.0,0,5,"Preheat the oven to 325 degrees F (165 degrees C)., Place onion slices on the bottom of a glass baking dish. Lay pork chops over onions. Cover chops evenly with condensed soup. Add water and bouillon, breaking up bouillon cubes to spread flavor. Cover the baking dish with aluminum foil., Bake pork chops in the preheated oven, stirring gravy once or twice, until no longer pink in the centers, about 1 hour. An instant-read thermometer inserted into the center of a chop should read at least 145 degrees F (63 degrees C)., You can use onion flakes if you dont have an onion on hand.",5-ingredient-main-dishes,4,145.0
49,Creamy Cottage Cheese Scrambled Eggs,4.5,116.0,95.0,5.0,5.0,10.0,2.0,0,5,"Melt butter in a skillet over medium heat. Pour beaten eggs into the skillet; let cook undisturbed until the bottom of the eggs begins to firm, 1 to 2 minutes., Stir cottage cheese and chives into eggs and season with black pepper. Cook and stir until eggs are nearly set, 3 to 4 minutes more.",5-ingredient-main-dishes,2,146.0
50,Scrambled Eggs with Chorizo,4.4,12.0,10.0,5.0,10.0,15.0,2.0,0,4,"Spray a large nonstick skillet with cooking spray; warm over medium-high heat. Add chorizo; cook and stir until browned, about 5 minutes., Whisk eggs and salt together in a bowl. Pour into the skillet; cook and stir until eggs are set, about 5 minutes., Eggs are very versatile. Add what ever you like to this. Dont forget the bacon!",5-ingredient-main-dishes,3,110.33333333333333
